T_han_JRI_10	han
T_han_JRI_11	han
T_han_JRI_12	han
T_han_JRI_13	han
T_han_JRI_14	han
T_han_JRI_15	han
T_han_JRI_16	han
T_han_JRI_17	han
T_han_JRI_18	han
T_han_JRI_19	han
T_han_JRI_20	han
T_han_JRI_21	han
T_han_JRI_22	han
T_han_JRI_23	han
T_han_JRI_24	han
T_han_JRI_25	han
T_han_JRI_26	han
T_han_JRI_28	han
T_han_JRI_29	han
T_han_JRI_30	han
T_han_PS82_344	han
T_han_SG_30	han
T_han_SG1_01_RS	han
T_han_SG1_04	han
T_han_SG1_08_RS	han
T_han_SG1_11_RS	han
T_han_SG1_16	han
T_han_SG1_17	han
T_han_SG1_19	han
T_han_SG1_21	han
T_han_SG1_23	han
T_han_SG1_24	han
T_han_SG1_25	han
T_lep_EA_59_RS	lep
T_lep_PS82_118	lep
T_lep_PS82_119	lep
T_lep_PS82_120	lep
T_lep_PS82_120_b	lep
T_lep_PS82_121	lep
T_lep_PS82_121_b	lep
T_lep_PS82_246	lep
T_lep_PS82_247	lep
T_lep_PS82_254	lep
T_lep_PS82_255	lep
T_lep_PS82_256	lep
T_lep_PS82_292	lep
T_lep_PS82_321	lep
T_lep_PS82_346	lep
T_lep_PS82_356	lep
T_lep_PS82_397	lep
T_lep_PS82_439	lep
T_lep_PS82_70	lep
T_lep_PS82_89	lep
T_lep_PS82_96	lep
T_lep_PS96_042	lep
T_lep_PS96_149	lep
T_lep_PS96_202	lep
T_lep_PS96_202_b	lep
T_lep_ULg1_051	lep
T_loe_Desvignes_01	loe
T_loe_Desvignes_02	loe
T_loe_PS82_212	loe
T_loe_PS82_213_RS	loe
T_loe_PS82_214_RS	loe
T_loe_PS82_264	loe
T_loe_PS82_275	loe
T_loe_PS82_348	loe
T_loe_PS82_365	loe
T_loe_PS82_386	loe
T_loe_PS82_387	loe
T_loe_PS82_389	loe
T_loe_PS82_394	loe
T_loe_PS82_395_b	loe
T_loe_PS82_395	loe
T_loe_PS82_396	loe
T_loe_PS82_400	loe
T_loe_PS82_402	loe
T_loe_PS82_403	loe
T_loe_PS82_404	loe
T_loe_PS82_405	loe
T_loe_PS82_408	loe
T_loe_PS82_411	loe
T_loe_PS82_412	loe
T_loe_PS82_413	loe
T_loe_PS82_416	loe
T_loe_PS82_418	loe
T_loe_PS82_420	loe
T_loe_PS82_424	loe
T_loe_PS82_432	loe
T_loe_PS82_440	loe
T_loe_PS82_454	loe
T_loe_PS82_469	loe
T_loe_PS82_492	loe
T_loe_PS82_498	loe
T_loe_PS82_514	loe
T_loe_PS82_531	loe
T_loe_PS82_533	loe
T_loe_PS82_97	loe
T_loe_PS82_99	loe
T_loe_PS96_080	loe
T_loe_PS96_087	loe
T_loe_PS96_102_b	loe
T_loe_PS96_102	loe
T_loe_PS96_108	loe
T_loe_PS96_109	loe
T_loe_PS96_171	loe
T_loe_PS96_172	loe
T_loe_PS96_213	loe
T_loe_PS96_239	loe
T_loe_PS96_240	loe
T_loe_PS96_323	loe
T_loe_PS96_334	loe
T_loe_PS96_335	loe
T_loe_PS96_342	loe
T_loe_PS96_346	loe
T_loe_PS96_347	loe
T_loe_PS96_348	loe
T_loe_PS96_350	loe
T_loe_PS96_352	loe
T_loe_PS96_353	loe
T_loe_PS96_354	loe
T_loe_PS96_355_RS	eul
T_loe_PS96_361	sco
T_loe_PS96_362	sco
T_loe_PS96_363	sco
T_loe_PS96_364	sco
T_loe_PS96_365	sco
T_loe_PS96_366	loe
T_loe_PS96_367	loe
T_loe_PS96_368	eul
T_loe_PS96_369	tok
T_loe_PS96_370	tok
T_loe_PS96_371	tok
T_loe_PS96_372	loe
T_loe_PS96_373	han
T_loe_PS96_374	han
T_loe_PS96_375	han
T_loe_PS96_376	han
T_loe_PS96_377	ber
T_loe_PS96_379	eul
T_loe_PS96_380	eul
T_loe_PS96_381	eul
T_loe_PS96_382	eul
T_loe_PS96_383	eul
T_loe_PS96_384	eul
T_loe_PS96_385	pen
T_loe_PS96_386	eul
T_loe_PS96_387	eul
T_loe_PS96_388	eul
T_loe_PS96_389	eul
T_loe_PS96_390	eul
T_loe_PS96_393	loe
T_loe_PS96_395	loe
T_loe_PS96_396	loe
T_loe_ROS_1352	loe
T_loe_ROS_1353	loe
T_loe_ROS_1354	loe
T_loe_ROS_1417	loe
T_loe_ROS_1418	loe
T_loe_ROS_1419	loe
T_loe_ROS_1420	loe
T_loe_ROS_1421	loe
T_loe_ROS_1484	loe
T_loe_ROS_1485	loe
T_loe_ROS_1486	loe
T_loe_ROS_1487	loe
T_loe_ROS_1488	loe
T_loe_ROS_1489	loe
T_loe_ROS_1490	loe
T_loe_ROS_1491	loe
T_loe_ROS_1492	loe
T_loe_ROS_1493	loe
T_loe_ROS_1571	loe
T_loe_ROS_1572	loe
T_loe_ROS_1573	loe
T_loe_ROS_1574	loe
T_loe_ROS_1575	loe
T_loe_ROS_1711	loe
T_loe_ROS_1712	loe
T_loe_ROS_1714	loe
T_loe_ROS_1715_RS	loe
T_loe_ROS_1753	loe
T_loe_ROS_1754	loe
T_loe_ROS_1755	loe
T_loe_ROS_1756	loe
T_loe_ROS_1757	loe
T_loe_ROS_1758	loe
T_loe_ROS_1759	loe
T_loe_ROS_1760_RS	loe
T_loe_ROS_1761	loe
T_loe_ROS_1762	loe
T_new_BW17_18_002_25_RS	new
T_new_BW17_18_002_29	new
T_new_BW17_18_006_02_RS	new
T_new_BW17_18_007_15_RS	new
T_new_BW17_18_010_16	new
T_new_BW17_18_010_17	new
T_new_JRI_01	new
T_new_JRI_03	new
T_new_JRI_04	new
T_new_JRI_05	new
T_new_JRI_06	new
T_new_JRI_07	new
T_new_JRI_08	new
T_new_JRI_09	new
T_new_JRI_10	new
T_new_JRI_11	new
T_new_JRI_12	new
T_new_JRI_13	new
T_new_JRI_14	new
T_new_JRI_15	new
T_new_JRI_16	new
T_new_JRI_17	new
T_new_JRI_18	new
T_new_JRI_19	new
T_new_JRI_20	new
T_new_JRI_21	new
T_new_JRI_22	new
T_new_JRI_23	new
T_new_KG1_01_RS	new
T_new_KG1_02	new
T_pen_JRI_01	pen
T_pen_PS82_513	pen
T_pen_PS96_006	pen
T_pen_PS96_006_b	pen
T_pen_PS96_130	pen
T_pen_PS96_167	pen
T_pen_PS96_168	pen
T_pen_ULg1_066	pen
T_pen_ULg1_068	pen
T_pen_ULg1_069_RS	pen
T_pen_ULg1_071	pen
T_pen_ULg1_075	pen
T_pen_ULg1_076	pen
T_pen_ULg1_077	pen
T_pen_ULg1_078	pen
T_pen_ULg1_079	pen
T_sco_Desvignes_02_RS	sco
T_sco_Desvignes_03	sco
T_sco_Desvignes_06_RS	sco
T_sco_Desvignes_07	sco
T_sco_PS82_16	sco
T_sco_PS82_26	sco
T_sco_PS82_328	sco
T_sco_PS82_371	sco
T_sco_PS82_372	sco
T_sco_PS82_373	sco
T_sco_PS82_374	sco
T_sco_PS82_375	sco
T_sco_PS82_376	sco
T_sco_PS82_377	sco
T_sco_PS82_378	sco
T_sco_PS82_379	sco
T_sco_PS82_380	sco
T_sco_PS82_381	sco
T_sco_PS82_382	sco
T_sco_PS82_383	sco
T_sco_PS82_476	sco
T_sco_PS82_485	sco
T_sco_PS82_487	sco
T_sco_PS82_489	sco
T_sco_PS82_490	sco
T_sco_PS82_493	sco
T_sco_PS82_496	sco
T_sco_PS82_509	sco
T_sco_PS82_511	sco
T_sco_PS82_52	sco
T_sco_PS82_53	sco
T_sco_PS82_534	sco
T_sco_PS82_54	sco
T_sco_PS82_55	sco
T_sco_PS82_56	sco
T_sco_PS82_57	sco
T_sco_PS82_58	sco
T_sco_PS82_60	sco
T_sco_PS82_61	sco
T_sco_PS82_62	sco
T_sco_PS82_63	sco
T_sco_PS82_74	sco
T_sco_PS82_74_b	sco
T_sco_PS82_75	sco
T_sco_PS82_77	sco
T_sco_PS82_85	sco
T_sco_PS82_88	sco
T_sco_PS82_90	sco
T_sco_PS96_002	sco
T_sco_PS96_003	sco
T_sco_PS96_036	sco
T_sco_PS96_040	sco
T_sco_PS96_041	sco
T_sco_PS96_044	sco
T_sco_PS96_077	sco
T_sco_PS96_078	sco
T_sco_PS96_092_b	sco
T_sco_PS96_092	sco
T_sco_PS96_093	sco
T_sco_PS96_117	sco
T_sco_PS96_118	sco
T_sco_PS96_144	sco
T_sco_PS96_145	sco
T_sco_PS96_146	sco
T_sco_PS96_147	sco
T_sco_PS96_152	sco
T_sco_PS96_153	sco
T_sco_PS96_163	sco
T_sco_PS96_164	sco
T_sco_PS96_211	sco
T_sco_PS96_211_b	sco
T_sco_PS96_212	sco
T_sco_PS96_221	sco
T_sco_PS96_229	sco
T_sco_PS96_343	sco
T_sco_ULg1_072	sco
T_sco_ULg1_073	sco
T_tok_PS96_173	tok
T_tok_PS96_345	tok
TA_399_TRNE_10	new
TA_399_TRNE_11	new
TA_399_TRNE_7	new
TA_400_TRNE_1	new
TA_400_TRNE_2	new
TA_400_TRNE_3	new
TA_401_TRNE_07	new
TA_401_TRNE_10	new
TA_401_TRNE_11	new
TA_401_TRNE_12	new
TA_401_TRNE_13	new
TA_401_TRNE_4	new
TA_401_TRNE_6	new
TA_401_TRNE_7	new
TA_401_TRNE_8	new
TA_401_TRNE_9	new
TA_499_TRNE_10_RS	new
TA_499_TRNE_11_RS	new
